Pedestrian_id,measuring_row,measuring_col,time,density,speed
139,15,5,2119,0.7779333566697783,0.5573578595317725
139,15,6,2733,0.7779333566697783,0.55
114,15,25,3978,0.8335000250033338,0.5378698224852071
118,16,5,3978,1.1113333666711118,0.5426129426129426
114,15,26,4610,0.8697391565252179,0.5352067442794058
118,16,6,4610,1.1113333666711118,0.539494982194885
80,16,25,5870,0.8751750262535005,0.45982984594159576
80,16,26,6498,0.8697391565252179,0.46877637130801686
61,16,5,7758,1.0002000300040006,0.4809523809523809
63,16,25,7758,0.9168500275036672,0.4809523809523809
61,16,6,8394,1.0002000300040006,0.43644696639022257
63,16,26,8394,0.9132261143514788,0.43644696639022257
114,15,5,9022,0.8890666933368894,0.4345501955671447
114,15,6,9650,0.8890666933368894,0.39831363696720223
58,15,25,10904,0.9585250287538338,0.3196951934349355
80,16,5,10904,0.7779333566697783,0.3196951934349355
58,15,26,11541,0.9567130721777397,0.2993712574850299
80,16,6,11541,0.7779333566697783,0.2993712574850299
86,16,25,12173,0.8751750262535005,0.28160908749530605
63,16,5,12829,0.7779333566697783,0.26527237354085603
86,16,26,12829,0.9132261143514788,0.26527237354085603
63,16,6,13493,0.7779333566697783,0.2505596391580354
139,15,25,14758,0.9168500275036672,0.2266147918712699
139,15,26,15410,0.9567130721777397,0.2159766721866225
58,15,5,16048,0.8890666933368894,0.20649136091415984
169,15,5,3225,2.000400060008001,0
294,16,26,4848,1.9569131021817403,0
169,15,6,8147,2.333800070009335,0.09615725314912636
239,16,5,8147,2.333800070009335,0
283,15,25,8147,2.042075061258168,0.1034290147401086
239,16,6,9801,2.333800070009335,0.20151148730350665
283,15,26,9801,2.000400060008001,0.12345968638103469
224,15,5,13096,2.667200080010668,0.05850447604002106
261,15,25,16408,2.042075061258168,0.12103861517976033
261,15,26,18106,2.087373975660523,0.13386886233557585
272,16,5,18106,2.000400060008001,0.03346721558389396
