Pedestrian_id,measuring_row,measuring_col,time,density,speed
2,15,25,1323,0.3334000100013335,0
2,15,26,1668,0.34789566261008714,0.9660869565217391
9,15,5,2012,0.4445333466684447,1.375831395348837
45,16,25,2012,0.5001000150020003,0.9688953488372093
9,15,6,2363,0.4445333466684447,1.1605553956834531
45,16,26,2363,0.5218434939151307,0.9591366906474821
2,15,5,4121,0.4445333466684447,1.072087205146533
22,16,25,4121,0.541775016252167,0.8338456040028591
2,15,6,4466,0.4445333466684447,0.9544066178810054
22,16,26,4466,0.5653304517413916,0.8483614381164493
45,16,5,4816,0.666800020002667,0.9528907242693773
45,16,6,5169,0.666800020002667,0.8568123393316195
22,16,5,6899,0.3334000100013335,0.5379662840746054
22,16,6,7243,0.3334000100013335,0.5067060810810811
9,15,25,8967,0.4584250137518336,0.43015289765721326
9,15,26,9311,0.47835653608886985,0.41079235902132666
2,15,25,11032,0.4167500125016669,0.3089607580595324
2,15,26,11383,0.43486957826260897,0.29818091451292245
